07/11/2018 20:42:34:4234 | notauth:: | Error | Framework.Exception.ManejadorExcepciones | DESKTOP-86F2EMS | 9 | 00:01:06.0883 | StatusResponseHelper.JsonNoAutenticado => ManejadorExcepciones.HandleException => NLogLogger.Error | Excepcion: | Su sesion ha expirado. | !
07/11/2018 20:42:40:4240 | notauth:: | Debug | Framework.Security.ByPassActiveDirectoryMembershipProvider | DESKTOP-86F2EMS | 7 | 00:01:12.0602 | ProvidersHelper.InstantiateProvider => ByPassAuthentication.Initialize => NLogLogger.Debug | Inicializando una instancia de ByPassAuthentication |  | !
07/11/2018 20:43:25:4325 | notauth:: | Error | Framework.Exception.ManejadorExcepciones | DESKTOP-86F2EMS | 7 | 00:01:57.0850 | HandleErrorFilterServicioWebAttribute.OnException => ManejadorExcepciones.HandleException => NLogLogger.Error | Excepcion: | The underlying provider failed on Open. | !
07/11/2018 20:43:48:4348 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 9 | 00:02:20.0534 | <no type>.lambda_method => CuentaController.Ingresar => LogAuditoria.Write | El usuario admin, ingresa por defecto con el codigo de rol Super Administrador |  | !
07/11/2018 20:43:48:4348 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 9 | 00:02:21.0047 | CuentaController.Ingresar => CuentaController.AutentificarUsuario => LogAuditoria.Write | El usuario admin, ingresa de forma exitosa al sistema |  | !
07/11/2018 20:43:48:4348 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 6 | 00:02:21.0153 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Inicio]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [1] |  | !
07/11/2018 20:44:37:4437 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 6 | 00:03:09.0899 | <no type>.lambda_method => CuentaController.Ingresar => LogAuditoria.Write | El usuario jpordonez, ingresa por defecto con el codigo de rol Administrador |  | !
07/11/2018 20:44:37:4437 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 6 | 00:03:09.0899 | CuentaController.Ingresar => CuentaController.AutentificarUsuario => LogAuditoria.Write | El usuario jpordonez, ingresa de forma exitosa al sistema |  | !
07/11/2018 20:44:37:4437 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 13 | 00:03:10.0141 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Inicio]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [1] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 12 | 00:04:11.0828 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Encuesta]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 12 | 00:04:11.0828 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Index]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 12 | 00:04:11.0891 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.ControllerToFunctionality => NLogLogger.DebugFormat | Resultado de convertir nombre de controlador : [ENCUESTA] a funcionalidad del sistema : [Administración de Encuestas], cantidad de resultados que coincide : [1] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 19 | 00:04:11.0894 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Encuesta]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 19 | 00:04:11.0894 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Get]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 19 | 00:04:11.0894 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.ControllerToFunctionality => NLogLogger.DebugFormat | Resultado de convertir nombre de controlador : [ENCUESTA] a funcionalidad del sistema : [Administración de Encuestas], cantidad de resultados que coincide : [1] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Error | Framework.Exception.ManejadorExcepciones | DESKTOP-86F2EMS | 19 | 00:04:11.0967 | HandleErrorFilterServicioWebAttribute.OnException => ManejadorExcepciones.HandleException => NLogLogger.Error | Excepcion: | Object reference not set to an instance of an object. | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Nucleo.Service.AuthorizationService | DESKTOP-86F2EMS | 12 | 00:04:11.0967 | AuthorizeFilterServiciosAttribute.OnAuthorization => AuthorizationService.Authorize => NLogLogger.DebugFormat | Verificar permiso de la accion VIEW en la funcionalidad FALTA FUNCIONADALIDAD para el usuario [jpordonez-] |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 12 | 00:04:12.0069 | EncuestaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Tiempo ejecucion sp (pro_obt_encuestas): 7 ms |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 12 | 00:04:12.0069 | EncuestaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Tiempo mapeo resultados para lista<T>: 3 ms |  | !
07/11/2018 20:45:39:4539 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 12 | 00:04:12.0069 | EncuestaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Correcto ejecucion sp pro_obt_encuestas => @ec_codigo:|@ec_texto:|@ef_fecha_desde:|@ef_fecha_hasta:|@en_universidad_id:1 |  | !
