13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 11 | 00:24:32.0752 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Encuesta]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 11 | 00:24:32.0752 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Index]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 26 | 00:24:32.0752 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Encuesta]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 26 | 00:24:32.0752 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Get]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 26 | 00:24:32.0822 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.ControllerToFunctionality => NLogLogger.DebugFormat | Resultado de convertir nombre de controlador : [ENCUESTA] a funcionalidad del sistema : [Administración de Encuestas], cantidad de resultados que coincide : [1] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 11 | 00:24:32.0822 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.ControllerToFunctionality => NLogLogger.DebugFormat | Resultado de convertir nombre de controlador : [ENCUESTA] a funcionalidad del sistema : [Administración de Encuestas], cantidad de resultados que coincide : [1] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Service.AuthorizationService | DESKTOP-86F2EMS | 26 | 00:24:32.0942 | AuthorizeFilterServiciosAttribute.OnAuthorization => AuthorizationService.Authorize => NLogLogger.DebugFormat | Verificar permiso de la accion VIEW en la funcionalidad FALTA FUNCIONADALIDAD para el usuario [jpordonez-] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Nucleo.Service.AuthorizationService | DESKTOP-86F2EMS | 11 | 00:24:32.0942 | AuthorizeFilterServiciosAttribute.OnAuthorization => AuthorizationService.Authorize => NLogLogger.DebugFormat | Verificar permiso de la accion VIEW en la funcionalidad FALTA FUNCIONADALIDAD para el usuario [jpordonez-] |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 11 | 00:24:33.0019 | EncuestaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Tiempo ejecucion sp (pro_obt_encuestas): 12 ms |  | !
13/11/2018 21:15:44:1544 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 11 | 00:24:33.0019 | EncuestaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Tiempo mapeo resultados para lista<T>: 0 ms |  | !
