25/10/2018 22:06:20:620 | notauth:: | Error | Framework.Exception.ManejadorExcepciones | DESKTOP-86F2EMS | 12 | 00:01:35.0413 | StatusResponseHelper.JsonNoAutenticado => ManejadorExcepciones.HandleException => NLogLogger.Error | Excepcion: | Su sesion ha expirado. | !
25/10/2018 22:06:27:627 | notauth:: | Debug | Framework.Security.ByPassActiveDirectoryMembershipProvider | DESKTOP-86F2EMS | 15 | 00:01:42.0516 | ProvidersHelper.InstantiateProvider => ByPassAuthentication.Initialize => NLogLogger.Debug | Inicializando una instancia de ByPassAuthentication |  | !
25/10/2018 22:06:45:645 | notauth:: | Error | Framework.Exception.ManejadorExcepciones | DESKTOP-86F2EMS | 15 | 00:02:00.0165 | HandleErrorFilterServicioWebAttribute.OnException => ManejadorExcepciones.HandleException => NLogLogger.Error | Excepcion: | The underlying provider failed on Open. | !
25/10/2018 22:06:58:658 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 15 | 00:02:13.0081 | <no type>.lambda_method => CuentaController.Ingresar => LogAuditoria.Write | El usuario admin, ingresa por defecto con el codigo de rol Super Administrador |  | !
25/10/2018 22:06:58:658 | notauth:: | Info | Seguridad\Gestion Usuarios | DESKTOP-86F2EMS | 15 | 00:02:13.0414 | CuentaController.Ingresar => CuentaController.AutentificarUsuario => LogAuditoria.Write | El usuario admin, ingresa de forma exitosa al sistema |  | !
25/10/2018 22:06:58:658 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 17 | 00:02:13.0479 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Inicio]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [1] |  | !
25/10/2018 22:08:01:81 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 15 | 00:03:16.0722 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipControllerSecurity => NLogLogger.DebugFormat | Resultado de omitir controladores : [Persona]. Cantidad de elementos que coincide con la nombre  de controlador desde el listado de omitidos : [0] |  | !
25/10/2018 22:08:01:81 | notauth:: | Debug | Nucleo.Presentacion.Filters.SecurityControllerHelper | DESKTOP-86F2EMS | 15 | 00:03:16.0723 | AuthorizeFilterServiciosAttribute.OnAuthorization => SecurityControllerHelper.SkipActionSecurity => NLogLogger.DebugFormat | Resultado de omitir action : [Index]. Cantidad de elementos que coincide con la accion desde el listado de omitidos : [0] |  | !
25/10/2018 22:08:01:81 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 15 | 00:03:16.0804 | PersonaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Tiempo ejecucion sp (pro_obt_personas): 16 ms |  | !
25/10/2018 22:08:01:81 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 15 | 00:03:16.0804 | PersonaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Tiempo mapeo resultados para lista<T>: 4 ms |  | !
25/10/2018 22:08:01:81 | notauth:: | Debug | Framework.EntityFramewok.EntityFrameworkStoreProcedureRepository`1 | DESKTOP-86F2EMS | 15 | 00:03:16.0804 | PersonaService.GetList => EntityFrameworkStoreProcedureRepository`1.SpConResultadosPaginado => NLogLogger.Debug | Correcto ejecucion sp pro_obt_personas => @nombre:|@apellido:|@identificacion: |  | !
